assetId,assetTypeId
01FS9J7RPB8SSD0S26E87CT4R6,01FX34K9DDZXE2TC4XX09HY08Z
01FS9J7RPB968V09MW3MMFXHCB,01FX34K9DDZXE2TC4XX09HY08Z
01FS9J7RPBCKXMPADZGQKPG9FZ,01FX34K9DDZXE2TC4XX09HY08Z
01FS9JP1GPCX8MRDKMXHA726WJ,01FX34K9DDZXE2TC4XX09HY08Z
01FS9JP1GPNMSFQG30AAPXBXQJ,01FX34K9DDZXE2TC4XX09HY08Z
01FS9JP1GPRMDP3MKTCKS6F9DR,01FX34K9DDZXE2TC4XX09HY08Z
01FS9JP1GPTMWX3ZHGAMV2V2X3,01FX34K9DDZXE2TC4XX09HY08Z
01FS9JP1GPW3ZG84EDPZSPP6S6,01FX34K9DDZXE2TC4XX09HY08Z
01FS9JP1GPYE0WFV1P1RS44VPB,01FX34K9DDZXE2TC4XX09HY08Z
01FS9JP1GQNXMY3TWAAVBNYQDK,01FX34K9DDZXE2TC4XX09HY08Z
01FS9KFEGT7YPMTG4B3KS7CDZ9,01FX34K9DDZXE2TC4XX09HY08Z
01FS9KFEGTD35XYWFN2GX5E3AY,01FX34K9DDZXE2TC4XX09HY08Z
01FS9KFEGTFC6VQTC6QSPZM4QM,01FX34K9DDZXE2TC4XX09HY08Z
01FS9KFEGTPX8VDWMCS0TM111K,01FX34K9DDZXE2TC4XX09HY08Z
01FS9P0Y5X9BT4KTR6TH7XGTD9,01FX34K9DDZXE2TC4XX09HY08Z
01FS9P0Y5XNAGZ94KZ5A84F2F5,01FX34K9DDZXE2TC4XX09HY08Z
